Carrera universitaria,Especialidad,Ciclo académico,Día nacimiento,Mes nacimiento,Año nacimiento,Género,Primera letra Nombre,Almuerzo favorito,Curso favorito,Nro Mascotas
Arquitectura,Diseño de Interiores,I,04,01,1997,Femenino,X,Ensalada,Matemática,3
Psicología,Psicología Organizacional,X,24,07,2005,Otro,B,Arroz chaufa,Biología,1
Medicina,Medicina Interna,VI,24,02,2001,Masculino,A,Hamburguesa,Lenguaje,1
Contabilidad,Auditoría,IV,02,07,2002,Masculino,J,Hamburguesa,Lenguaje,1
Economía,Econometría,VI,26,09,2001,Masculino,Z,Ají de gallina,Matemática,1
Derecho,Derecho Corporativo,II,01,09,2004,Femenino,T,Arroz chaufa,Lenguaje,4
Arquitectura,Diseño Urbano,VIII,03,04,2005,Masculino,V,Hamburguesa,Diseño,4
Ingeniería de Software,Desarrollo Web,IX,18,07,2004,Femenino,C,Ají de gallina,Biología,4
Educación,Educación Secundaria,VI,01,10,1998,Masculino,E,Ceviche,Programación,0
Economía,Economía Internacional,VII,14,03,1998,Otro,H,Hamburguesa,Matemática,1
Ingeniería de Software,DevOps,II,12,08,2000,Otro,X,Arroz chaufa,Estadística,0
Economía,Economía Internacional,VIII,13,01,2005,Masculino,I,Tallarin verde,Lenguaje,4
Psicología,Psicología Educativa,V,28,05,1995,Masculino,B,Ají de gallina,Física,3
Economía,Economía Internacional,VIII,09,07,1997,Otro,P,Ceviche,Historia,4
Arquitectura,Diseño Urbano,VI,16,07,2003,Femenino,H,Tallarin verde,Historia,0
Psicología,Psicología Educativa,II,08,02,2000,Masculino,V,Tallarin verde,Física,3
Educación,Educación Especial,IX,19,03,1995,Masculino,N,Lomo saltado,Historia,0
Ingeniería de Software,DevOps,III,18,04,2005,Otro,G,Ensalada,Diseño,0
Administración,Gestión de Empresas,VI,20,03,1995,Otro,N,Ceviche,Física,0
Ingeniería de Software,Ciberseguridad,X,14,10,2005,Masculino,E,Hamburguesa,Biología,2
Educación,Educación Inicial,II,02,08,1998,Otro,F,Tallarin verde,Historia,2
Ingeniería de Software,Desarrollo Web,IV,01,10,1996,Masculino,G,Arroz chaufa,Física,5
Educación,Educación Secundaria,VI,15,09,1998,Otro,P,Hamburguesa,Historia,5
Educación,Pedagogía,II,23,07,1995,Femenino,E,Arroz chaufa,Matemática,0
